[Out Task            ]	[In Task             ]	 Cost (microseconds)
-------------------------------------------------------------------------
[1: LED Flash        ]	[7: Serial Read/Wri  ]	 761
[2: Serial Write 1   ]	[1: LED Flash        ]	 117
[3: Serial Write 2   ]	[2: Serial Write 1   ]	  11
[4: New 1            ]	[3: Serial Write 2   ]	   9
[5: New 2            ]	[4: New 1            ]	   9
[2: Serial Write 1   ]	[5: New 2            ]	   7
[6: Serial Xmit Str  ]	[2: Serial Write 1   ]	 154
[8: IDLE             ]	[6: Serial Xmit Str  ]	  12
[5: New 2            ]	[8: IDLE             ]	  10
[6: Serial Xmit Str  ]	[5: New 2            ]	   8
[8: IDLE             ]	[6: Serial Xmit Str  ]	   8
[6: Serial Xmit Str  ]	[8: IDLE             ]	   7
[8: IDLE             ]	[6: Serial Xmit Str  ]	   9
[5: New 2            ]	[8: IDLE             ]	   9
[6: Serial Xmit Str  ]	[5: New 2            ]	   7
[8: IDLE             ]	[6: Serial Xmit Str  ]	   8
[6: Serial Xmit Str  ]	[8: IDLE             ]	   7
[8: IDLE             ]	[6: Serial Xmit Str  ]	  12
[3: Serial Write 2   ]	[8: IDLE             ]	  19
[4: New 1            ]	[3: Serial Write 2   ]	  14
[6: Serial Xmit Str  ]	[4: New 1            ]	  14
[8: IDLE             ]	[6: Serial Xmit Str  ]	  16
[6: Serial Xmit Str  ]	[8: IDLE             ]	  14
[8: IDLE             ]	[6: Serial Xmit Str  ]	   8
[5: New 2            ]	[8: IDLE             ]	  15
[6: Serial Xmit Str  ]	[5: New 2            ]	  11
[8: IDLE             ]	[6: Serial Xmit Str  ]	  13
[6: Serial Xmit Str  ]	[8: IDLE             ]	  10
[8: IDLE             ]	[6: Serial Xmit Str  ]	  16
[5: New 2            ]	[8: IDLE             ]	  11
[6: Serial Xmit Str  ]	[5: New 2            ]	   9
[8: IDLE             ]	[6: Serial Xmit Str  ]	  11
[1: LED Flash        ]	[8: IDLE             ]	  12
[8: IDLE             ]	[1: LED Flash        ]	   9
[3: Serial Write 2   ]	[8: IDLE             ]	  15
[4: New 1            ]	[3: Serial Write 2   ]	  12
[5: New 2            ]	[4: New 1            ]	  10
[6: Serial Xmit Str  ]	[5: New 2            ]	  11
[8: IDLE             ]	[6: Serial Xmit Str  ]	  12
[6: Serial Xmit Str  ]	[8: IDLE             ]	  11
[8: IDLE             ]	[6: Serial Xmit Str  ]	  16
[5: New 2            ]	[8: IDLE             ]	  11
[6: Serial Xmit Str  ]	[5: New 2            ]	   7
[8: IDLE             ]	[6: Serial Xmit Str  ]	   8
[6: Serial Xmit Str  ]	[8: IDLE             ]	   7
[8: IDLE             ]	[6: Serial Xmit Str  ]	  10
[5: New 2            ]	[8: IDLE             ]	  10
[6: Serial Xmit Str  ]	[5: New 2            ]	   7
[8: IDLE             ]	[6: Serial Xmit Str  ]	   8
[6: Serial Xmit Str  ]	[8: IDLE             ]	   7
[8: IDLE             ]	[6: Serial Xmit Str  ]	  17
[3: Serial Write 2   ]	[8: IDLE             ]	  16
